image_id,dx
100_aug2,mel
42,vasc
5_aug2,mel
192_aug2,vasc
162_aug2,mel
173,nv
100,mel
44,nv
79,mel
175_aug2,mel
152_aug1,vasc
27_aug2,nv
97,mel
6,mel
7_aug2,nv
45_aug1,mel
170,nv
101_aug2,nv
11,nv
33,nv
99_aug2,nv
152_aug2,vasc
197_aug1,nv
169,vasc
135_aug2,nv
76_aug1,mel
75,mel
91,nv
19_aug2,nv
111_aug1,mel
51,mel
94,nv
142,vasc
102_aug2,nv
172_aug1,nv
28,nv
170_aug1,nv
105_aug1,mel
154_aug2,nv
32_aug1,nv
191_aug1,mel
142_aug1,vasc
65_aug2,nv
4,mel
50_aug2,nv
89_aug1,vasc
135,nv
149_aug2,nv
200,mel
102_aug1,nv
85_aug2,vasc
88,nv
98,nv
88_aug1,nv
52,vasc
11_aug1,nv
117,nv
165,nv
34_aug1,nv
157_aug2,vasc
114_aug1,mel
89,vasc
164_aug1,vasc
119,mel
163_aug1,mel
84,vasc
154,nv
107_aug1,nv
104,mel
109_aug1,mel
183_aug1,mel
182_aug1,nv
115_aug2,nv
60_aug2,nv
31_aug2,nv
86,nv
95_aug1,nv
13_aug2,mel
136,mel
14,nv
108,nv
121_aug1,nv
95,nv
25_aug1,nv
21,mel
40,nv
197_aug2,nv
49_aug1,mel
71_aug2,nv
175,mel
57_aug2,mel
71_aug1,nv
59_aug2,vasc
35,mel
3,nv
91_aug1,nv
125_aug1,nv
143,vasc
185,mel
42_aug2,vasc
12_aug1,vasc
112,nv
136_aug1,mel
8_aug1,vasc
134_aug2,mel
31,nv
1_aug1,nv
46_aug1,vasc
106,mel
164_aug2,vasc
62_aug1,nv
132,nv
165_aug1,nv
73_aug1,mel
100_aug1,mel
97_aug1,mel
158_aug1,mel
170_aug2,nv
144_aug1,nv
94_aug1,nv
24,nv
153,nv
3_aug1,nv
182_aug2,nv
124,mel
169_aug1,vasc
73_aug2,mel
76,mel
113_aug2,vasc
65_aug1,nv
38_aug1,mel
30,mel
125,nv
85_aug1,vasc
171,nv
116,mel
173_aug2,nv
146_aug2,nv
153_aug1,nv
83_aug2,nv
8_aug2,vasc
13_aug1,mel
177_aug2,mel
23_aug2,mel
130,nv
156_aug2,nv
145,nv
119_aug2,mel
179_aug1,mel
110,mel
109,mel
57,mel
21_aug1,mel
63_aug1,nv
167_aug1,mel
162,mel
33_aug1,nv
130_aug2,nv
185_aug2,mel
10_aug1,nv
199,vasc
6_aug2,mel
183_aug2,mel
49_aug2,mel
137,nv
81_aug1,nv
186,mel
80_aug1,mel
20_aug1,nv
141_aug1,vasc
61_aug2,mel
64_aug1,nv
123_aug1,mel
126_aug2,nv
34,nv
5_aug1,mel
159,nv
192,vasc
115,nv
81,nv
146,nv
53,nv
67_aug2,nv
200_aug1,mel
50,nv
92,mel
16_aug2,vasc
196_aug2,mel
133,nv
57_aug1,mel
113,vasc
102,nv
148_aug1,mel
124_aug2,mel
26,nv
171_aug2,nv
159_aug1,nv
121_aug2,nv
181,nv
49,mel
47_aug2,nv
38_aug2,mel
55,mel
155_aug1,nv
151_aug2,vasc
10,nv
29_aug1,mel
122,mel
75_aug1,mel
172,nv
56_aug1,nv
112_aug1,nv
26_aug1,nv
186_aug2,mel
97_aug2,mel
118_aug2,nv
53_aug1,nv
31_aug1,nv
63,nv
2_aug1,nv
84_aug1,vasc
81_aug2,nv
132_aug2,nv
123_aug2,mel
112_aug2,nv
67,nv
150_aug1,nv
165_aug2,nv
66_aug2,mel
182,nv
83_aug1,nv
92_aug1,mel
129,nv
194_aug1,vasc
117_aug1,nv
30_aug1,mel
65,nv
78,mel
29_aug2,mel
93_aug2,mel
180_aug2,vasc
156,nv
111_aug2,mel
52_aug1,vasc
104_aug1,mel
70_aug2,mel
83,nv
186_aug1,mel
60,nv
32,nv
90,nv
82,nv
125_aug2,nv
155_aug2,nv
118_aug1,nv
9_aug2,vasc
101,nv
47,nv
158,mel
147,nv
66_aug1,mel
198_aug1,nv
28_aug2,nv
91_aug2,nv
106_aug1,mel
89_aug2,vasc
36_aug1,mel
61_aug1,mel
88_aug2,nv
22_aug1,nv
74_aug1,nv
160,nv
62,nv
149_aug1,nv
131,mel
126,nv
18,mel
120_aug1,nv
110_aug1,mel
133_aug2,nv
127,vasc
144_aug2,nv
43_aug2,nv
137_aug2,nv
14_aug2,nv
38,mel
190,nv
198,nv
140_aug2,mel
168_aug2,nv
137_aug1,nv
188_aug2,mel
132_aug1,nv
23,mel
41_aug1,nv
136_aug2,mel
54,mel
90_aug1,nv
17_aug1,nv
19_aug1,nv
53_aug2,nv
115_aug1,nv
176,vasc
142_aug2,vasc
37,mel
104_aug2,mel
191_aug2,mel
180,vasc
117_aug2,nv
161_aug2,vasc
159_aug2,nv
93,mel
25,nv
113_aug1,vasc
20,nv
56,nv
46_aug2,vasc
77,nv
187_aug1,nv
82_aug1,nv
36,mel
39,mel
64,nv
29,mel
59,vasc
114,mel
103_aug2,mel
191,mel
27,nv
69_aug2,nv
174_aug1,nv
176_aug2,vasc
73,mel
8,vasc
134_aug1,mel
103_aug1,mel
32_aug2,nv
78_aug1,mel
42_aug1,vasc
87_aug2,mel
72_aug2,mel
106_aug2,mel
157,vasc
72,mel
41,nv
114_aug2,mel
189_aug2,nv
70,mel
128_aug2,mel
179,mel
121,nv
94_aug2,nv
69_aug1,nv
189,nv
85,vasc
39_aug2,mel
33_aug2,nv
77_aug2,nv
195_aug2,nv
174,nv
155,nv
50_aug1,nv
140,mel
18_aug2,mel
139,nv
183,mel
177,mel
58,nv
168,nv
194_aug2,vasc
7_aug1,nv
68_aug2,vasc
184_aug1,mel
143_aug1,vasc
22,nv
43,nv
99,nv
18_aug1,mel
1,nv
54_aug1,mel
196,mel
120_aug2,nv
40_aug2,nv
129_aug2,nv
145_aug1,nv
54_aug2,mel
146_aug1,nv
47_aug1,nv
184_aug2,mel
7,nv
59_aug1,vasc
78_aug2,mel
86_aug2,nv
48,nv
1_aug2,nv
21_aug2,mel
123,mel
9,vasc
16_aug1,vasc
140_aug1,mel
162_aug1,mel
15,vasc
36_aug2,mel
181_aug2,nv
187,nv
74_aug2,nv
145_aug2,nv
167_aug2,mel
13,mel
25_aug2,nv
15_aug2,vasc
80,mel
71,nv
151_aug1,vasc
105_aug2,mel
79_aug1,mel
108_aug1,nv
144,nv
116_aug1,mel
10_aug2,nv
37_aug2,mel
92_aug2,mel
40_aug1,nv
158_aug2,mel
190_aug1,nv
141,vasc
22_aug2,nv
147_aug2,nv
56_aug2,nv
111,mel
124_aug1,mel
190_aug2,nv
96_aug1,vasc
52_aug2,vasc
35_aug2,mel
96,vasc
39_aug1,mel
16,vasc
119_aug1,mel
70_aug1,mel
199_aug1,vasc
12,vasc
166_aug2,nv
151,vasc
17,nv
67_aug1,nv
77_aug1,nv
139_aug1,nv
135_aug1,nv
87,mel
176_aug1,vasc
90_aug2,nv
43_aug1,nv
173_aug1,nv
177_aug1,mel
188,mel
199_aug2,vasc
118,nv
64_aug2,nv
122_aug2,mel
3_aug2,nv
127_aug1,vasc
4_aug1,mel
23_aug1,mel
131_aug1,mel
160_aug2,nv
172_aug2,nv
79_aug2,mel
128_aug1,mel
150,nv
187_aug2,nv
84_aug2,vasc
126_aug1,nv
9_aug1,vasc
178,nv
103,mel
108_aug2,nv
76_aug2,mel
58_aug1,nv
130_aug1,nv
