model,split,subset,n,accuracy,macro_f1
resnet18,val,overall,93,0.7741935483870968,0.7803952011291461
resnet18,val,original_only,33,0.7878787878787878,0.792022792022792
resnet18,val,augmented_only,60,0.7666666666666667,0.7740196078431373
resnet18,test,overall,120,0.7916666666666666,0.7973822065502881
resnet18,test,original_only,29,0.896551724137931,0.8993939393939394
resnet18,test,augmented_only,91,0.7582417582417582,0.7604216770883437
mobilenet_v2,val,overall,93,0.7634408602150538,0.775666094911378
mobilenet_v2,val,original_only,33,0.6666666666666666,0.6647548358074674
mobilenet_v2,val,augmented_only,60,0.8166666666666667,0.8330731961109485
mobilenet_v2,test,overall,120,0.8333333333333334,0.8399810066476734
mobilenet_v2,test,original_only,29,0.9655172413793104,0.9710144927536232
mobilenet_v2,test,augmented_only,91,0.7912087912087912,0.7925197386033979
