split_type,seed,model,n_train_samples,n_test_samples,n_train_groups,n_test_groups,train_test_group_overlap,train_class_distribution,test_class_distribution,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_mel,f1_nv,f1_vasc
original_augmented_split,,SVM,480,120,198,100,98,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.725,0.7266505636070854,0.7492063492063492,0.7360446570972886,0.7254784688995215,0.6818181818181818,0.7368421052631579,0.7894736842105263
original_augmented_split,,Random Forest,480,120,198,100,98,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.7333333333333333,0.7331823410986482,0.7394179894179894,0.73595849427335,0.7329753155695506,0.7073170731707317,0.743801652892562,0.7567567567567568
original_augmented_split,,KNN,480,120,198,100,98,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6666666666666666,0.6835802469135803,0.6666666666666666,0.6721107970266673,0.6698030241845021,0.6086956521739131,0.7017543859649122,0.7058823529411765
strict_group_split,0,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6333333333333333,0.6119802677942213,0.6373015873015873,0.6221653878942881,0.6350127877237851,0.5882352941176471,0.6782608695652174,0.6
strict_group_split,0,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6416666666666667,0.687912087912088,0.6275132275132275,0.6510353302611367,0.6424516129032258,0.5714285714285714,0.672,0.7096774193548387
strict_group_split,0,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.525,0.5084238373712057,0.5142857142857142,0.5108211659935797,0.5269959614787201,0.45977011494252873,0.5862068965517241,0.4864864864864865
strict_group_split,1,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5,0.49374999999999997,0.4798941798941799,0.48599990743740457,0.4984403202665802,0.43902439024390244,0.5483870967741935,0.47058823529411764
strict_group_split,1,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6083333333333333,0.6540365250042669,0.5629629629629629,0.5856179845250883,0.6046378029984588,0.6153846153846154,0.6229508196721312,0.5185185185185185
strict_group_split,1,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.48333333333333334,0.4718498289749531,0.48306878306878304,0.4730590239362169,0.4824477108687635,0.5052631578947369,0.48148148148148145,0.43243243243243246
strict_group_split,2,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5833333333333334,0.5603603603603603,0.4849206349206349,0.49238563281155195,0.5632735711685475,0.5853658536585366,0.6417910447761194,0.25
strict_group_split,2,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6416666666666667,0.7003418803418805,0.5521164021164021,0.5767489711934156,0.6266975308641974,0.6172839506172839,0.6962962962962963,0.4166666666666667
strict_group_split,2,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.575,0.5397209802947508,0.51005291005291,0.5169015125127977,0.5679959469301162,0.5777777777777777,0.628099173553719,0.3448275862068966
strict_group_split,3,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5083333333333333,0.4726774623613957,0.4619047619047619,0.4656552546316326,0.5054059588705258,0.48717948717948717,0.5669291338582677,0.34285714285714286
strict_group_split,3,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.575,0.6170634920634921,0.530952380952381,0.5489057239057239,0.5542676767676766,0.3939393939393939,0.6527777777777778,0.6
strict_group_split,3,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5,0.4586871234412218,0.46455026455026455,0.4610718204551272,0.49969739929867524,0.41975308641975306,0.5950413223140496,0.3684210526315789
strict_group_split,4,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5916666666666667,0.6239564595728979,0.5457671957671958,0.5703870640349769,0.5855540708535263,0.5128205128205128,0.6466165413533834,0.5517241379310345
strict_group_split,4,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.65,0.7211764705882353,0.5880952380952381,0.617167855304757,0.6291099919123595,0.47761194029850745,0.7310344827586207,0.6428571428571429
strict_group_split,4,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6,0.6707811707811708,0.5171957671957671,0.5435209995174884,0.585903862145431,0.5569620253164557,0.656934306569343,0.4166666666666667
strict_group_split,5,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.55,0.5685185185185185,0.4814814814814814,0.5009570375424034,0.5399909034055376,0.5121951219512195,0.6060606060606061,0.38461538461538464
strict_group_split,5,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.6083333333333333,0.7210501640881387,0.5179894179894179,0.5460835345101845,0.5900283117987216,0.5128205128205128,0.6906474820143885,0.43478260869565216
strict_group_split,5,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.4666666666666667,0.4209492249746487,0.40820105820105823,0.4116361956969168,0.4637983795668806,0.4222222222222222,0.5546218487394958,0.25806451612903225
strict_group_split,6,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5166666666666667,0.4978535353535354,0.48994708994708996,0.49332725338197286,0.515640674874601,0.5348837209302325,0.5333333333333333,0.4117647058823529
strict_group_split,6,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.575,0.6088675213675213,0.5169312169312169,0.5413892153022588,0.5641108499804152,0.4864864864864865,0.6376811594202898,0.5
strict_group_split,6,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.475,0.44105789388808253,0.43862433862433853,0.4364146073805271,0.4719655603293336,0.5106382978723404,0.49557522123893805,0.30303030303030304
strict_group_split,7,SVM,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.475,0.48442288442288445,0.482010582010582,0.48243413033286453,0.4722447257383966,0.379746835443038,0.512,0.5555555555555556
strict_group_split,7,Random Forest,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5583333333333333,0.6646920893496236,0.53994708994709,0.5786301196028045,0.5571856857333206,0.4050632911392405,0.6165413533834586,0.7142857142857143
strict_group_split,7,KNN,480,120,160,40,0,mel:168;nv:240;vasc:72,mel:42;nv:60;vasc:18,0.5583333333333333,0.604805642119075,0.5576719576719577,0.5767898804316127,0.5578931539807523,0.4444444444444444,0.5984251968503937,0.6875
