model,analysis,perturbation,strength,condition,n_samples,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,precision_mel,precision_nv,precision_vasc,recall_mel,recall_nv,recall_vasc,f1_mel,f1_nv,f1_vasc,prediction_invariance,accuracy_retention,f1_macro_retention,delta_accuracy,delta_f1_macro,confusion_matrix
SVM,baseline,clean,none,clean:none,120,0.725,0.7266505636070854,0.7492063492063492,0.7360446570972886,0.7254784688995215,0.6521739130434783,0.7777777777777778,0.75,0.7142857142857143,0.7,0.8333333333333334,0.6818181818181818,0.7368421052631579,0.7894736842105263,1.0,1.0,1.0,0.0,0.0,"[[30, 11, 1], [14, 42, 4], [2, 1, 15]]"
Random Forest,baseline,clean,none,clean:none,120,0.7333333333333333,0.7331823410986482,0.7394179894179894,0.73595849427335,0.7329753155695506,0.725,0.7377049180327869,0.7368421052631579,0.6904761904761905,0.75,0.7777777777777778,0.7073170731707317,0.743801652892562,0.7567567567567568,1.0,1.0,1.0,0.0,0.0,"[[29, 13, 0], [10, 45, 5], [1, 3, 14]]"
KNN,baseline,clean,none,clean:none,120,0.6666666666666666,0.6835802469135803,0.6666666666666666,0.6721107970266673,0.6698030241845021,0.56,0.7407407407407407,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6086956521739131,0.7017543859649122,0.7058823529411765,1.0,1.0,1.0,0.0,0.0,"[[28, 12, 2], [18, 40, 2], [4, 2, 12]]"
SVM,perturbation,brightness,factor=0.80,brightness:factor=0.80,120,0.31666666666666665,0.4933025911286781,0.4587301587301587,0.30408871891561806,0.3019710361980664,0.6666666666666666,0.6086956521739131,0.20454545454545456,0.14285714285714285,0.23333333333333334,1.0,0.23529411764705882,0.3373493975903614,0.33962264150943394,0.3,0.43678160919540227,0.41313895289294156,-0.4083333333333333,-0.43195593818167055,"[[6, 9, 27], [3, 14, 43], [0, 0, 18]]"
Random Forest,perturbation,brightness,factor=0.80,brightness:factor=0.80,120,0.5666666666666667,0.6368148506513287,0.5798941798941799,0.5991322392001509,0.5713638936049802,0.4716981132075472,0.5925925925925926,0.8461538461538461,0.5952380952380952,0.5333333333333333,0.6111111111111112,0.5263157894736842,0.5614035087719298,0.7096774193548387,0.65,0.7727272727272727,0.8140842776625674,-0.16666666666666663,-0.13682625507319912,"[[25, 17, 0], [26, 32, 2], [2, 5, 11]]"
KNN,perturbation,brightness,factor=0.80,brightness:factor=0.80,120,0.44166666666666665,0.4506500473695625,0.5105820105820106,0.46080246208225734,0.43442877710994815,0.37735849056603776,0.5263157894736842,0.4482758620689655,0.47619047619047616,0.3333333333333333,0.7222222222222222,0.42105263157894735,0.40816326530612246,0.5531914893617021,0.43333333333333335,0.6625,0.6856049093702836,-0.22499999999999998,-0.21130833494440998,"[[20, 15, 7], [31, 20, 9], [2, 3, 13]]"
SVM,perturbation,brightness,factor=1.20,brightness:factor=1.20,120,0.2833333333333333,0.4222138293519655,0.4235449735449735,0.2725856697819315,0.265520694259012,0.42857142857142855,0.6470588235294118,0.19101123595505617,0.14285714285714285,0.18333333333333332,0.9444444444444444,0.21428571428571427,0.2857142857142857,0.3177570093457944,0.25833333333333336,0.39080459770114945,0.37033849393991564,-0.44166666666666665,-0.4634589873153571,"[[6, 5, 31], [8, 11, 41], [0, 1, 17]]"
Random Forest,perturbation,brightness,factor=1.20,brightness:factor=1.20,120,0.5833333333333334,0.5917444755680049,0.5814814814814815,0.5862175764614789,0.5824970963995355,0.525,0.6031746031746031,0.6470588235294118,0.5,0.6333333333333333,0.6111111111111112,0.5121951219512195,0.6178861788617886,0.6285714285714286,0.65,0.7954545454545455,0.7965361919496314,-0.1499999999999999,-0.14974091781187115,"[[21, 19, 2], [18, 38, 4], [1, 6, 11]]"
KNN,perturbation,brightness,factor=1.20,brightness:factor=1.20,120,0.575,0.5535469107551487,0.5642857142857144,0.5580119645337036,0.5747022219848307,0.5869565217391305,0.6,0.47368421052631576,0.6428571428571429,0.55,0.5,0.6136363636363636,0.5739130434782609,0.4864864864864865,0.5333333333333333,0.8624999999999999,0.8302380604541358,-0.09166666666666667,-0.11409883249296371,"[[27, 13, 2], [19, 33, 8], [0, 9, 9]]"
SVM,perturbation,contrast,factor=0.80,contrast:factor=0.80,120,0.5083333333333333,0.5757575757575758,0.5441798941798942,0.47477954144620815,0.4932804232804233,0.8333333333333334,0.5606060606060606,0.3333333333333333,0.23809523809523808,0.6166666666666667,0.7777777777777778,0.37037037037037035,0.5873015873015873,0.4666666666666667,0.5333333333333333,0.7011494252873564,0.6450417605347184,-0.21666666666666667,-0.26126511565108046,"[[10, 26, 6], [1, 37, 22], [1, 3, 14]]"
